Temperature [C],Specific heat [J/kg-C]
15,4188
17.15,4186
19.31,4185
21.46,4183
23.62,4182
25.77,4181
27.92,4180
30.08,4180
32.23,4179
34.38,4179
36.54,4179
38.69,4179
40.85,4180
43,4180
45.15,4180
47.31,4181
49.46,4181
51.62,4182
53.77,4183
55.92,4183
58.08,4184
60.23,4185
62.38,4186
64.54,4187
66.69,4188
68.85,4189
71,4191
73.15,4192
75.31,4193
77.46,4195
79.62,4196
81.77,4198
83.92,4200
86.08,4202
88.23,4204
90.38,4206
92.54,4208
94.69,4210
96.85,4212
99,4215
